Unnamed: 0,brand_name,watch_name,rating,number_of_reviews,price
50,Carlington,"Analog-Digital Sports Watch Chronograph, Dual Time,Alarm, Stopwatch, Calendar, Water-Resistant, Shock-Resistant, Back Light Display. The Perfect Watch for Men-CT9140 Series",4.0,598.0,999.0
51,Titan,Octane Analog Silver Dial Men's Watch-NL1650BM03/NP1650BM03,4.3,2000.0,2635.0
52,Acnos,Premium Brand Digital 4 Colours Square Dial Unisex Wrist Watch for Men Women Pack of 1 (WR),3.7,2300.0,265.0
53,Fastrack,Fastrack Stunners Quartz Analog White Dial Silver Metal Strap Watch for Guys - 3278SM04,4.4,384.0,1270.0
54,Shocknshop,Digital Sports Stylish Multifunctional Electronic LED Black Dial Wrist Watch for Men Boys -WCH78,4.0,1300.0,473.0
55,Sonata,SF Quartz Analog White Dial Black Plastic Strap Watch for Men- NT7930PP01,4.0,12400.0,675.0
56,Fastrack,Fastrack Quartz Analog Digital Black Dial Green Plastic Strap Unisex Watch - NT38076PP02W,4.5,256.0,1835.0
57,Casio,G-Shock G-5600UE-1DR Digital Dial Black Resin Strap Men's Watch Tough Solar Shock Resistant G1166,4.6,1600.0,6495.0
58,Titan,Karishma Analog Silver Dial Men's Watch -NM1774BM01 / NL1774BM01/NP1774BM01,4.2,1000.0,3115.0
59,Acnos,Luminous LED Display Fashionable Children's Digital Watches - Waterproof Sports Square Electronic Led Watch for Boy & Girl,3.7,3300.0,174.0
60,LOUIS DEVIN,Silicone Strap Analog Wrist Watch for Men (Black/Blue/Red) | LD-BK054,4.0,5300.0,331.0
61,Sonata,SF Quartz Analog White Dial Fern Green Plastic Strap Watch for Men - NT7921PP15,4.2,1300.0,624.0
62,Casio,Unisex Vintage A168XES-1BDF Black Digital Dial Transparent Resin Strap D306,4.2,251.0,2694.0
63,Titan,Analog Silver Dial Men's Watch-NM1584SL03 / NL1584SL03/NP1584SL03,4.2,4000.0,2070.0
64,OLEVS,Men's Business Watch Gold Blue with Large Easy-Read Analog Quartz Date Display Luxury Stainless Steel Band Waterproof Luminous Hands,3.6,2600.0,3010.0
65,Casio,G-Shock Casio GA-140-1A1DR Analog-Digital Black Dial Men Watch (G975),4.4,818.0,8365.0
66,Matrix,Antique 2.0 Day & Date Softest Silicone Strap Analog Watch for Men & Boys,4.0,4400.0,273.0
67,Titan,Titan Workwear Urban Edge Quartz Analog Silver Dial Black Leather Watch for Men - 1802SL02,4.4,1300.0,1695.0
68,TIMEWEAR,"Analog, Day Date Functioning, Strap Watch for Men",3.7,2800.0,309.0
69,Casio,Casio G-Shock DW-5600UBB-1DR Digital Black Dial Men (G1513),4.2,3700.0,7856.0
70,Matrix,Arabian | Aura Dial & Polycarbonate Strap Analog Watch for Men & Boys (Black),3.6,147.0,398.0
71,Sonata,Smart Plaid Quartz Analog Black Dial Silver Stainless Steel Strap Watch for Men - NT77105SM02W,4.4,767.0,1294.0
72,Fastrack,Fastrack Bold Quartz Analog Black Dial Silver Stainless Steel Strap Watch for Guys - NT38051SM07,4.3,2200.0,1322.0
73,Acnos,Premium Brand - A Digital Watch Shockproof Multi-Functional Automatic 5 Color Army Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys Watch for Men Pack of 1,4.2,2500.0,259.0
74,GOLDENIZE FASHION,Branded Men's Sport Quartz Watch Arrow Wheel Dial 360 Rotating Casual Fashion Stainless Steel Alloy Mens & Boy's Luxury Metal Gift Creative Watch,4.5,65.0,989.0
75,Fastrack,Fastrack Quartz Analog Digital Black Dial Black Plastic Strap Unisex Watch - NT38076PP01W,4.3,222.0,1835.0
76,Titan,Sonata Quartz Analog White Dial Brown Leather Strap Watch for Men - NT7135SL03,4.3,1200.0,925.0
77,Casio,G-Shock GA-B2100-1A1DR Black Analog-Digital Dial Black Resin Strap Men's Watch Tough Solar Bluetooth G1242,4.4,412.0,11995.0
78,Armani Exchange,Armani Exchange Mens Drexler Stainless Steel Chronograph Watch - AX2600 (Black_Free Size),4.3,805.0,8247.0
79,Sonata,Analog White Dial Men's Watch -NJ7987YL02W,4.2,6600.0,649.0
80,Sonata,Analog White Dial Men's Watch -NJ7987SM03W,4.1,2700.0,699.0
81,GOLDENIZE FASHION,Branded Men's Sport Quartz Watch Car Wheel Multicolour Dial Wheel Dial 360 Rotating Casual Fashion Stainless Steel Alloy Mens &Boy's Luxury Metal Gift Creative Watch,4.2,348.0,589.0
82,Casio,Edifice Chronograph Black Dial Men's Watch - EFR-526L-1AVUDF (EX096),4.3,781.0,6236.0
83,Casio,Vintage ABL-100WE-1ADF Bluetooth Digital Black Dial Unisex (D365),4.5,118.0,4396.0
84,Casio,Enticer Analog Black Dial Men's Watch - MTP-VD01GL-1EVUDF (A1369),4.5,1500.0,2995.0
85,Casio,Youth Series Digital Black Dial Men's Watch - W-96H-1BVDF(D054),4.3,2900.0,1895.0
86,Sonata,Volt+ Analog Green Dial Men's Watch NM77085PL02/NN77085PL02W,4.2,986.0,849.0
87,Matrix,Minimalist Dial with Softest Silicone Strap Analog Wrist Watch for Men & Boys,4.0,1100.0,248.0
88,Fastrack,Mixmatched Quartz Analog Black Dial Black Stainless Steel Strap Couple Watch - NT33056296NM01,4.6,67.0,2877.0
89,Carlington,Legacy Series Analog Wrist Watches with Chronograph & Silicone Strap for Men - CT 9999,4.2,302.0,1613.0
90,Titan,Titan Karishma Analog Blue Dial Men's Watch -NM1774SM01 / NL1774SM01/NP1774SM01,4.3,1200.0,2475.0
91,Shocknshop,Digital Sports Square Black Dial Stainless Steel Strap Unisex Watch (Black Dial & Silver Colored Strap) -WCH53,3.8,599.0,473.0
92,Casio,Youth Series Digital Grey Dial Men's Watch - W-96H-1AVDF(D031),4.3,1300.0,1895.0
93,Titan,Neo Analog Brass Dial Men's Watch-NM1734WL01 / NL1734WL01/NP1734WL01,4.3,530.0,3714.0
94,AMERICANVIBER,"Men's Silver, Watch with Stainless Steel Band | Water-Resistant Analog Dress & Casual Wristwatch",4.2,117.0,399.0
95,Fossil,"Analog White Dial Men's Watch-FS4795 Stainless Steel, Multicolor Strap",4.4,2300.0,14494.0
96,Matrix,Dark Edition Solid Black Dial with Softest Silicone Strap Analog Wrist Watch for Men & Boys,4.1,158.0,273.0
97,OLEVS,chronograph Men's Stainless Steel Watch (Blue Dial Silver Colored Strap),4.0,798.0,2886.0
98,Fastrack,Fastrack Stunners Quartz Analog Black Dial Black Stainless Steel Strap Watch for Guys - NT3255NM02,4.3,482.0,1617.0
99,Casio,Youth Series Digital Black Dial Men's Watch - AE-1200WH-1BVDF(D098),4.6,1400.0,2995.0
100,TIMEX,Automatic Watch for Man with Blue Round Dial & Blue Leather Strap Band Water Resistant Men's Wrist Watches,4.2,119.0,9597.0
101,Fastrack,Fastrack Stunners Quartz Analog Silver Dial Silver Metal Strap Watch for Guys - NT3291SM02​,4.3,558.0,1525.0
102,Casio,G-Shock GM-2100-1ADR Silver Analog-Digital Dial Black Resin Strap Men's Watch Shock and 200M Water Resistant G1159,4.4,434.0,14875.0
103,Matrix,MotionX | Spinning Car Wheel Dial with Black Coated Stainless Steel Chain & Butterfly Double Snap Lock for Men & Boys,3.8,376.0,448.0
104,Casio,Unisex Vintage A168WEMB-1BDF Black Digital Dial Silver Stainless Steel Band D259,4.1,324.0,5295.0
105,Shocknshop,Digital Sports Multi Functional Black Dial Watch for Mens Boys -315RED,3.9,10400.0,275.0
106,Acnos,Premium Brand - A Taymex Digital Watch Shockproof Multi-Functional Automatic Black Strap Waterproof Digital Sports Watch for Men's Kids Watch for Boys - for Men Pack of 1,4.1,2100.0,265.0
107,ON TIME OCTUS,Analog Ultra Light Weight Polycarbonate Plastic Strap Unisex Wrist Watch for Man & Woman,4.1,70.0,429.0
108,Sonata,Essentials Quartz Analog Black Dial Silver Stainless Steel Strap Watch for Men - NS77083SM05W,4.4,288.0,994.0
109,Titan,Titan Classique Slimline Quartz Analog with Date Anthracite Dial Black Stainless Steel Strap Watch for Men - NT90142QM02,4.2,97.0,6596.0
110,Fastrack,Casual Analog White Dial Men's Watch-NL3121SM01/NP3121SM01,4.1,5000.0,1536.0
111,Fastrack,Tees Wanderlust Quartz Analog Forest Green Dial Black Silicone Strap Unisex Watch - NT38024PP73W,4.1,115.0,895.0
112,Matrix,"Blue, Black & Silver Dial, Day & Date Functioning, Stainless Steel Strap Analog Watch for Men & Women",3.7,2500.0,273.0
113,Casio,Vintage Series Digital Black Dial Unisex's Watch-A168WGG-1ADF,4.3,435.0,5295.0
114,Casio,Vintage LW-204-4ADF Rose Gold Digital Dial Pink Resin Strap D213,4.4,445.0,2495.0
